file,line,token,owner,disposition,reason,classification,source_evidence
src/capabilities/money/screens/MoneyCategoryDetailScreen.tsx,867,fieldFill,activityInventory,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneyCategoryDetailScreen.tsx#activityInventory
src/features/workflow-feedback/WorkflowFeedbackQuestion.tsx,101,fieldFill,acknowledgement,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/workflow-feedback/WorkflowFeedbackQuestion.tsx#acknowledgement
src/capabilities/meal-planning/screens/MealPlanFinalizeScreen.tsx,258,fieldFill,pressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/meal-planning/screens/MealPlanFinalizeScreen.tsx#pressed
src/features/workflow-feedback/WorkflowFeedbackInlineSlot.tsx,38,fieldFill,slot,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/workflow-feedback/WorkflowFeedbackInlineSlot.tsx#slot
src/capabilities/money/screens/MoneySummaryScreen.tsx,1331,fieldFillPressed,headerAccountActionPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/screens/MoneySummaryScreen.tsx#headerAccountActionPressed
src/capabilities/money/screens/MoneySummaryScreen.tsx,1341,fieldFillPressed,iconButtonPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/screens/MoneySummaryScreen.tsx#iconButtonPressed
src/capabilities/money/screens/MoneySummaryScreen.tsx,1344,fieldFill,monthlyPlanSummary,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneySummaryScreen.tsx#monthlyPlanSummary
src/capabilities/money/screens/MoneySummaryScreen.tsx,1345,fieldFillPressed,monthlyPlanSummaryPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/screens/MoneySummaryScreen.tsx#monthlyPlanSummaryPressed
src/capabilities/money/screens/MoneySummaryScreen.tsx,1375,fieldFill,categoryList,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneySummaryScreen.tsx#categoryList
src/capabilities/money/screens/MoneySummaryScreen.tsx,1385,fieldFill,unclearProjection,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneySummaryScreen.tsx#unclearProjection
src/capabilities/money/screens/MoneySummaryScreen.tsx,1420,fieldFill,unclearReviewRows,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneySummaryScreen.tsx#unclearReviewRows
src/capabilities/money/screens/MoneyScreenFrame.tsx,202,fieldFill,warning,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneyScreenFrame.tsx#warning
src/capabilities/money/screens/MoneyScreenFrame.tsx,220,fieldFill,placeholder,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneyScreenFrame.tsx#placeholder
src/capabilities/money/screens/MoneyTransactionsScreen.tsx,311,fieldFillPressed,iconButtonPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/screens/MoneyTransactionsScreen.tsx#iconButtonPressed
src/capabilities/money/screens/MoneyTransactionsScreen.tsx,323,fieldFill,neutralChip,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneyTransactionsScreen.tsx#neutralChip
src/capabilities/money/screens/MoneyAccountsScreen.tsx,385,fieldFillPressed,iconButtonPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/screens/MoneyAccountsScreen.tsx#iconButtonPressed
src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,1018,fieldFill,coveragePreview,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx#coveragePreview
src/features/activities/KanbanColumn.tsx,397,fieldFill,surface,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/KanbanColumn.tsx#surface
src/features/activities/KanbanColumn.tsx,453,fieldFill,addCardButton,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/KanbanColumn.tsx#addCardButton
src/features/activities/RepeatInfoMenu.tsx,47,fieldFillPressed,triggerPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/RepeatInfoMenu.tsx#triggerPressed
src/features/activities/activityDetailStyles.ts,93,fieldFill,tagPickerContainer,Preserve legacy surface role,Retain popup/list surface independently of the embedded text query; a result list is not an editable field.,choice-popup,src/features/activities/activityDetailStyles.ts#tagPickerContainer
src/features/activities/activityDetailStyles.ts,118,fieldFill,attachmentsFieldContainer,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/activityDetailStyles.ts#attachmentsFieldContainer
src/features/activities/activityDetailStyles.ts,175,fieldFillPressed,attachmentsFieldAction,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/activityDetailStyles.ts#attachmentsFieldAction
src/features/activities/activityDetailStyles.ts,149,fieldFill,goalRelationRow,Migrate with owning feature,Review this existing selected-value/tag/location trigger with the owning feature; migrate field material without replacing choice or inline semantics.,choice-trigger,src/features/activities/activityDetailStyles.ts#goalRelationRow
src/features/activities/activityDetailStyles.ts,439,fieldFillPressed,rowPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/activityDetailStyles.ts#rowPressed
src/features/activities/activityDetailStyles.ts,258,fieldFill,rowsCard,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/activityDetailStyles.ts#rowsCard
src/features/activities/activityDetailStyles.ts,467,fieldFill,attachmentPreviewFrame,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/activityDetailStyles.ts#attachmentPreviewFrame
src/features/activities/activityDetailStyles.ts,507,fieldFill,locationFormulaTrigger,Migrate with owning feature,Review this existing selected-value/tag/location trigger with the owning feature; migrate field material without replacing choice or inline semantics.,choice-trigger,src/features/activities/activityDetailStyles.ts#locationFormulaTrigger
src/features/activities/activityDetailStyles.ts,840,fieldFill,unitSliderTrack,Preserve legacy surface role,Retain native slider-track material; the input family does not replace sliders.,native-slider-track,src/features/activities/activityDetailStyles.ts#unitSliderTrack
src/features/activities/activityDetailStyles.ts,855,fieldFill,focusSoundscapeQuickMenuItemActive,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/features/activities/activityDetailStyles.ts#focusSoundscapeQuickMenuItemActive
src/features/activities/ViewCustomizationGuide.tsx,270,fieldFill,presetPill,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/features/activities/ViewCustomizationGuide.tsx#presetPill
src/features/activities/ViewCustomizationGuide.tsx,276,fieldFillPressed,presetPillPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/ViewCustomizationGuide.tsx#presetPillPressed
src/features/activities/ActivityAttachmentCard.tsx,119,fieldFill,card,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/ActivityAttachmentCard.tsx#card
src/features/activities/ActivityAttachmentCard.tsx,141,fieldFillPressed,media,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/ActivityAttachmentCard.tsx#media
src/features/activities/ActivityAttachmentCard.tsx,180,fieldFillPressed,optionsPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/ActivityAttachmentCard.tsx#optionsPressed
src/features/activities/ActivityDraftDetailFields.tsx,918,fieldFill,rowsCard,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/activities/ActivityDraftDetailFields.tsx#rowsCard
src/features/activities/ActivityDraftDetailFields.tsx,934,fieldFillPressed,rowPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/activities/ActivityDraftDetailFields.tsx#rowPressed
src/capabilities/recipes/components/ImportEvidenceViewer.tsx,8,fieldFill,field,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/recipes/components/ImportEvidenceViewer.tsx#field
src/features/household-food/components/MealSetupDrawer.tsx,51,fieldFill,group,Preserve legacy surface role,Retain grouped people/options/switch rows; native selection behavior and its group surface are separate from text field material.,native-choice-group,src/features/household-food/components/MealSetupDrawer.tsx#group
src/features/household-food/components/FoodNeedsDrawer.tsx,136,fieldFill,personChip,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/features/household-food/components/FoodNeedsDrawer.tsx#personChip
src/features/household-food/components/FoodNeedsDrawer.tsx,140,fieldFill,foodChip,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/features/household-food/components/FoodNeedsDrawer.tsx#foodChip
src/features/household-food/components/MealPlanHeaderAction.tsx,157,fieldFill,action,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/features/household-food/components/MealPlanHeaderAction.tsx#action
src/features/household-food/components/UsualDinersDrawer.tsx,107,fieldFill,group,Preserve legacy surface role,Retain grouped people/options/switch rows; native selection behavior and its group surface are separate from text field material.,native-choice-group,src/features/household-food/components/UsualDinersDrawer.tsx#group
src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts,75,fieldFill,mealPlanHeaderAction,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts#mealPlanHeaderAction
src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts,444,fieldFill,planDragSectionActive,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts#planDragSectionActive
src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts,488,fieldFill,planReactionChoice,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts#planReactionChoice
src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts,584,fieldFill,planTimingChoiceSelected,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/recipes/screens/RecipeLibraryScreen.styles.ts#planTimingChoiceSelected
src/capabilities/recipes/screens/RecipeImportReviewScreen.tsx,140,fieldFill,privateNote,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/recipes/screens/RecipeImportReviewScreen.tsx#privateNote
src/capabilities/recipes/screens/RecipeCookCompleteScreen.tsx,283,fieldFill,ratingChoiceSelected,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/recipes/screens/RecipeCookCompleteScreen.tsx#ratingChoiceSelected
src/capabilities/recipes/screens/MealPlanDrawer.tsx,273,fieldFill,backgroundColor,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/recipes/screens/MealPlanDrawer.tsx#backgroundColor
src/features/activities/activityDetailStyles.ts,1238,fieldFill,tagsFieldContainer,Preserve legacy surface role,Read-only ActivityPeekFields tag preview still uses this surface; editable tag fields now use TagEntryField. Preserve content styling independently of input material.,content-surface,src/features/activities/activityDetailStyles.ts#tagsFieldContainer
