site_id,file,line,component,task,wave,target,status,behavior_record,evidence,kind,owner,fingerprint
INP-015,src/capabilities/games/players/PlayerIdentityEditor.tsx,57,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Player identity name; shared Input retains autofocus, max18, Done blurAndSubmit and existing save/close callback. Color and sound choices, secondary action and removal remain unchanged; keyboard-safe sheet host retained.","Scoped gate passes: 10 suites / 108 tests, app/test types, code health and whitespace in kwilt-games-explore-local.log; direct input policy passes; native acceptance remains open.",shared-input,PlayerIdentityEditor,bcedd631f1b56f102b5c27c8
INP-016,src/capabilities/groceries/components/KrogerStoreFinder.tsx,168,SearchField,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Nearby-store query; shared SearchField preserves word capitalization, explicit Search/Return invokes onFindStores. Clear only updates query and refocuses; no search, selection or cart action. Map/header geometry retained; old local pill radius removed for canonical field material.","Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,KrogerStoreFinder,6aa1b510d5a44b08661e0494
INP-017,src/capabilities/groceries/components/StoreOpportunityCaptureSheet.tsx,12,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Store opportunity six-field adapter; shared Input owns label and material, parent View retains flex for paired fields. Draft keys and decimal keyboards unchanged; explicit Review submits only valid concept/store/price/quantity/unit and retains existing busy handling. No deal or Money semantics added.","Scoped local gate passes: 5 suites / 20 tests, app types, code health and whitespace in kwilt-food-forms-local.log; native acceptance open.",shared-input,field,4ef0f3d91541b0dde0913104
INP-018,src/capabilities/groceries/screens/GroceryItemEditScreen.tsx,95,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Grocery Field adapter for item, quantity and note; Input owns label/material and forwards controlled callbacks plus decimal keyboard. Save preserves list revision and user_review payload, quantity blank to null and nonempty to Number, note blank to null; errors retain draft and navigation occurs on success.","Scoped local gate passes: 5 suites / 20 tests, app types, code health and whitespace in kwilt-food-forms-local.log; native acceptance open.",shared-input,Field,76e4e210db590591ea00961a
INP-019,src/capabilities/meal-planning/components/MealOccasionDrawer.tsx,65,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Optional meal-occasion date; local YYYY-MM-DD text remains text entry. Explicit Save dish trims blank to null and retains diner/serving/unresolved-member guards; open reset, alternate-dish choices and drawer host unchanged.","Scoped local gate passes: 5 suites / 20 tests, app types, code health and whitespace in kwilt-food-forms-local.log; native acceptance open.",shared-input,MealOccasionDrawer,073eb74921544eddf437b207
INP-020,src/capabilities/meal-planning/components/MealPlanningReminderOfferDrawer.tsx,80,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Reminder clock; conditional input after choosing once/weekly, existing numbers-and-punctuation keyboard and HH:MM parser retained. Explicit Add to Activities uses computed reminder time; no reminder created on typing. Original builder signature and scheduling functions restored and verified unchanged after cleanup error.","Scoped local gate passes: 5 suites / 20 tests, app types, code health and whitespace in kwilt-food-forms-local.log; native acceptance open.",shared-input,MealPlanningReminderOfferDrawer,e6c56f2a0a8ac895f937de9d
INP-021,src/capabilities/meal-planning/components/TripTargetSheet.tsx,2,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Trip target amount; local decimal draft initialized from cents on visibility; existing Math.round(Number(value)*100) and safe-integer/nonnegative guard retained, including existing blank-to-zero behavior. Explicit target action owns busy/save; no Money plan change.","Scoped local gate passes: 5 suites / 20 tests, app types, code health and whitespace in kwilt-food-forms-local.log; native acceptance open.",shared-input,TripTargetSheet,92d41b591a399db3b0813627
INP-022,src/capabilities/meal-planning/screens/MealChoiceResponseScreen.tsx,163,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Optional meal suggestion; local single-line draft capped by projection suggestionLimit or240; unavailable state locks editing; existing explicit Done guard/submit owns response. Typing never sends a response.,"Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,MealChoiceResponseScreen,f71646409ec0b8a346d96fea
INP-023,src/capabilities/meal-planning/screens/MealPlanEditorScreen.tsx,155,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Meal horizon count; controlled number-pad draft; currentHorizon accepts integer1-60; preparing a starting point remains unsaved, explicit plan persistence unchanged. Field container retains layout flex.","Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,MealPlanEditorScreen,019d260b54ab0e1d3ed29eb8
INP-024,src/capabilities/meal-planning/screens/MealPlanEditorScreen.tsx,156,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Horizon starts-on text; YYYY-MM-DD remains typed date, existing finite Date.parse and endsOn>=startsOn guard retained; parent draft and explicit persistence unchanged.","Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,MealPlanEditorScreen,889da034019f5d00c3167dc9
INP-025,src/capabilities/meal-planning/screens/MealPlanEditorScreen.tsx,156,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Horizon ends-on text; controlled date string and existing date-order validation retained; field shares owned material and paired container flex without native date-picker substitution.,"Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,MealPlanEditorScreen,1cc6d7e204996b81938da75e
INP-026,src/capabilities/meal-planning/screens/MealPlanEditorScreen.tsx,163,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Meal idea; local note draft; explicit Add trims nonempty text into a stable-id meal_note and clears input; removing a note and final plan persistence unchanged.,"Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,MealPlanEditorScreen,96eb677ec4032afb2154c66a
INP-027,src/capabilities/money/components/MoneyTransactionSplitDrawer.tsx,115,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Split allocation amount; per-source-category draft and decimal keyboard retained. Existing amount parser and allocation-plan validation own cents, total/sign/direction/pending constraints. Inline Done dismisses keyboard only; outer Save owns allocation mutation.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyTransactionSplitDrawer,d5076a850cd337c965946c5a
INP-028,src/capabilities/money/screens/MoneyCategoryCreateScreen.tsx,42,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"New category name; local draft with word capitalization and Next key; explicit create parses trimmed nonempty name, busy/error handling unchanged.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyCategoryCreateScreen,1c48c9bb632dad2dfd03923c
INP-029,src/capabilities/money/screens/MoneyCategoryCreateScreen.tsx,51,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"New category monthly amount; decimal draft parsed by existing category-plan parser, allowing dollar/comma normalization and nonnegative cents with at most two decimals; explicit create owns persistence.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyCategoryCreateScreen,5a5c25154778d1815864ac66
INP-030,src/capabilities/money/screens/MoneyCategoryDetailScreen.tsx,651,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Manual expected month-end total; decimal local forecast draft, optional-money parser applied only in manual forecast mode by explicit Save forecast; no change to projected/actual transaction truth.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyCategoryDetailScreen,d64f534f4a04cad70636faeb
INP-031,src/capabilities/money/screens/MoneyCategoryDetailScreen.tsx,655,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Scheduled forecast amount; decimal local draft, optional-money parser used in scheduled/hybrid mode by explicit Save forecast; no transaction write on typing.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyCategoryDetailScreen,63ed6c1000faf2cf1acdcb3a
INP-032,src/capabilities/money/screens/MoneyCategoryDetailScreen.tsx,656,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Scheduled due day; number-pad local draft, existing optional day validation1-31; explicit Save forecast owns persistence.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyCategoryDetailScreen,3747c93e3417c86bcafaca7f
INP-033,src/capabilities/money/screens/MoneyLivingPlanScreen.tsx,170,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Living planning basis amount; local decimal draft locked while saving; existing parseMonthlyAmount and explicit savePlanningBasisOverride retained, errors/draft behavior unchanged.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,BudgetSettingsSurface,e22733b3a1406e5ccd1f8fff
INP-034,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,569,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Transaction note; local draft capped500, multiline112-180, saving lock retained; explicit Save note calls existing reviewed transaction-note action, successful save closes editor and failure retains it.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyTransactionDetailScreen,e6861c13f6290e559feb8405
INP-035,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,613,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Saved-money coverage amount; decimal local draft, existing Number/round and clamp0..transactionAmount retained for partial coverage; explicit review save owns setTransactionPlanCoverage. No allocation/coverage mutation on typing.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyTransactionDetailScreen,5663ebd6c77f31c237310dad
INP-036,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,664,SearchField,04,Representative native pilots,SearchField composition; preserve query and clear semantics,implemented-awaiting-native,Money category query; local categoryQuery; search return; filters categories; category selection separately persists; pending choice gates selection; drawer host.,"Keyboard task verified narrow resize repair: native-money-search-resized.jpg; filtering, one-tap clear/focus and Close pass; scoped20 tests. No financial mutation.",shared-input,MoneyTransactionDetailScreen,81df84990a05d1ee8c5760bd
INP-037,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,728,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Category name in transaction picker; local draft, existing parseCategoryName(newName or query) and explicit Create and choose retained; busy state and error handling unchanged.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyTransactionDetailScreen,b59a3da8bedd88166ebe84ed
INP-038,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,729,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Category monthly amount in transaction picker; local decimal draft parsed by existing parseMonthlyAmount on explicit Create and choose; no automatic category write.,"Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyTransactionDetailScreen,5aa4fbf87357b1a76031103d
INP-039,src/capabilities/money/screens/MoneyTransactionDetailScreen.tsx,770,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Partial merchant-rule match; local draft with no capitalization/autocorrect, associated helper/error and Done retained; existing explicit reviewed rule save owns matching scope and persistence.","Scoped local gate passes: app types, code health, related Jest and scanner script tests in kwilt-money-input-local.log; native acceptance remains open.",shared-input,MoneyTransactionDetailScreen,4ac9e70e2dd514310d33e333
INP-040,src/capabilities/recipes/components/IngredientLineEditor.tsx,16,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Ingredient row; shared filled Input retains literal originalText and stable line id through parent patch, separate Remove targets that row; explicit screen Save persists. Horizontal flex belongs to container; no input-specific color/border/radius remains.","Scoped local gate passes: 7 recipe editor tests plus app/test types, code health and whitespace in kwilt-input-recipe-local.log; separate input policy check passes; native acceptance open. Native second ingredient long ending text and separate Remove action visible above software keyboard; header Save reachable. See native-recipe-ingredient-long.png. Draft discarded without Save.",shared-input,IngredientLineEditor,cd8a7ccf5db7e13c99457a68
INP-041,src/capabilities/recipes/components/InstructionSectionEditor.tsx,18,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Instruction row; named by current position, stable step id retained across edits/removals; shared multiline72-120 preserves newlines and separate Remove action; parent explicit Save persists complete draft. Keyboard/long-text native acceptance open.","Scoped local gate passes: 7 recipe editor tests plus app/test types, code health and whitespace in kwilt-input-recipe-local.log; separate input policy check passes; native acceptance open. Native long instruction retained full value with internal scrolling, ending caret above software keyboard, selected phrase replaced using on-screen key, and selected-all deletion restored placeholder. See native-recipe-instruction-long.png/native-recipe-instruction-empty.png. Clipboard paste unproven; draft discarded without Save.",shared-input,InstructionSectionEditor,683b3d900b6f39f028861126
INP-042,src/capabilities/recipes/screens/MealPlanDrawer.tsx,1044,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Optional meal hard-pass reason; controlled local draft, autofocus,140-character max and multiline112-180 retained. Explicit Save sends trimmed Other text or selected reason through existing onReact callback, then resets picker state. Typing does not send a reaction.","Scoped gate passes: 3 suites / 64 tests, app types, code health and whitespace in kwilt-input-cook-local.log; separate input policy check passes; native acceptance open.",shared-input,MealPlanDrawer,ff1981886d6810a1eb829e19
INP-043,src/capabilities/recipes/screens/RecipeCookCompleteScreen.tsx,118,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Cook substitution value; shared filled Input retains ingredientLineId-based local substitution patch; explicit Done sends structured substitution, no ingredient/version mutation on typing.","Scoped gate passes: 3 suites / 64 tests, app types, code health and whitespace in kwilt-input-cook-local.log; separate input policy check passes; native acceptance open.",shared-input,RecipeCookCompleteView,e4f38baab17f7236aced3c0b
INP-044,src/capabilities/recipes/screens/RecipeCookCompleteScreen.tsx,131,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Optional substitution note; existing single-line field and ingredientLineId-based patch retained; explicit Done owns persistence and failure handling with the full cook-learning draft.,"Scoped gate passes: 3 suites / 64 tests, app types, code health and whitespace in kwilt-input-cook-local.log; separate input policy check passes; native acceptance open.",shared-input,RecipeCookCompleteView,6c3dd03a2a07f056f63feb57
INP-045,src/capabilities/recipes/screens/RecipeCookCompleteScreen.tsx,171,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Cooking note; shared multiline110-160 retains local draft and private_note default. Explicit destination choice can request recipe_edit_proposal, whose existing review step does not edit/publish the recipe; Done owns save. Native keyboard/long-text acceptance open.","Scoped gate passes: 3 suites / 64 tests, app types, code health and whitespace in kwilt-input-cook-local.log; separate input policy check passes; native acceptance open.",shared-input,RecipeCookCompleteView,2b592f76005a6faab52baa16
INP-046,src/capabilities/recipes/screens/RecipeEditScreen.tsx,131,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"AI recipe-change draft; unified filled field on muted parent, multiline88-120; existing explicit Suggest changes uses instruction, Apply to draft changes only local recipe draft, and Save remains separate. Failure keeps direct manual editing available.","Scoped local gate passes: 7 recipe editor tests plus app/test types, code health and whitespace in kwilt-input-recipe-local.log; separate input policy check passes; native acceptance open.",shared-input,RecipeEditView,8623c95f912ae9540aa49235
INP-047,src/capabilities/recipes/screens/RecipeEditScreen.tsx,204,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Recipe Field adapter; Input owns one label/material and optional multiline96-120, forwarding existing controlled callbacks, autofocus, decimal keyboard and placeholders. Seven runtime uses cover title, description, yield quantity/unit, source title/author and notes. Yield placement moved to container; parent explicit Save owns persistence.","Scoped local gate passes: 7 recipe editor tests plus app/test types, code health and whitespace in kwilt-input-recipe-local.log; separate input policy check passes; native acceptance open. Native title draft entry enables Save; header remains available during lower ingredient/instruction editing. Seven adapter contexts are not all accepted from this check; unsaved fixture discarded.",shared-input,Field,b1a3f3aabbf63df29d51b543
INP-048,src/capabilities/recipes/screens/RecipeImportReviewScreen.tsx,117,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Recipe import source; shared Input retains mode-derived URL/default keyboard, capitalization and autocorrect; text mode multiline180-220. Explicit extraction uses trimmed URL or source text; photo/private-copy confirmation, review/edit/save and error retention unchanged.","Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,RecipeImportReviewScreen,5aa3d5c78b3079c472628dbb
INP-049,src/capabilities/recipes/screens/RecipeLibraryDrawers.tsx,847,Input,06,Food forms and repeating editors,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Coverage name in plan timing; shared Input replaces its sole custom input style; controlled value.label patches existing draft, date selection and outer timing save remain unchanged.","Scoped local gate passes: 7 suites / 93 tests, app/test types, architecture, code health and whitespace in kwilt-food-remaining-local.log; native acceptance open.",shared-input,MealTimingEditor,a420c687fff6698ea449b31d
INP-050,src/features/account/ActivityAreasSettingsScreen.tsx,83,Input,05,"Account, household, Plan and remaining forms",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Inline area rename; local draft and autofocus; plain Input retains Done and explicit Save callbacks, trim and expected reference; successful save exits edit, failure retains draft. Parent row supplies inline context.","Scoped gate passes: 8 suites / 53 tests, app/test types and architecture in kwilt-input-adapters-local.log; native acceptance open.",shared-input,ActivityAreasSettingsScreen,6455cad80e856df8aa2375da
INP-051,src/features/account/ActivityAreasSettingsScreen.tsx,136,Input,05,"Account, household, Plan and remaining forms",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"New area; filled Input with existing local draft; Done or Add invokes trimmed nonempty create, success clears draft and failure retains it. Horizontal layout flex stays on container; editing material owned by Input.","Scoped gate passes: 8 suites / 53 tests, app/test types and architecture in kwilt-input-adapters-local.log; native acceptance open.",shared-input,ActivityAreasSettingsScreen,a8f313d1712d039deb2a27de
INP-052,src/features/account/DestinationDetailScreen.tsx,269,Input,05,"Account, household, Plan and remaining forms",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Destination display name; controlled cursorDraft; required trimmed nonempty value; explicit Save owns create/update and existing Pro guard; keyboard-aware screen retained.,Scoped local gate passes: 9 suites / 98 tests plus app types and architecture in kwilt-forms-input-local.log; native acceptance remains open.,shared-input,DestinationDetailScreen,d883a86607b82aa705370baf
INP-053,src/features/account/DestinationDetailScreen.tsx,275,Input,05,"Account, household, Plan and remaining forms",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Repository name; controlled cursorDraft; required trimmed nonempty value; explicit Save retains create/update and expectedUpdatedAt guard; no blur persistence.,Scoped local gate passes: 9 suites / 98 tests plus app types and architecture in kwilt-forms-input-local.log; native acceptance remains open.,shared-input,DestinationDetailScreen,254d213349ac31936a4eac54
